Section,Stat,Value
SM 32,RegistersWrites,0
SM 66,IMU Instructions,88
SM 65,SFU Instructions,552
SM 10,DPU Instructions,0
SM 51,DPU Instructions,0
SM 36,BRU Instructions,176
SM 2,SFU Instructions,800
SM 30,LDS Instructions,104
SM 39,SFU Instructions,1088
SM 30,Cycles,101457
SM 50,SFU Instructions,536
SM 46,SFU Instructions,272
SM 74,SFU Instructions,552
SM 3,DPU Instructions,0
SM 4,BlockCount,2
SM 22,SPU Instructions,0
SM 50,BRU Instructions,96
SM 44,BRU Instructions,56
SM 34,RegistersWrites,0
SM 13,InstructionsPerCycle,0
SM 53,RegistersWrites,0
SM 61,RegistersReads,0
SM 58,BlockCount,1
SM 11,BlockCount,2
SM 7,LDS Instructions,88
SM 2,SPU Instructions,0
SM 61,Cycles,101457
Config.SPU,WriteLatency,1
SM 55,SPU Instructions,0
SM 58,BRU Instructions,96
SM 54,Cycles,101457
SM 62,Cycles,101457
Config.SFU,Width,1
SM 45,IMU Instructions,40
SM 57,Cycles,101457
SM 80,BRU Instructions,96
SM 61,LDS Instructions,48
SM 51,IMU Instructions,104
SM 8,SPU Instructions,0
SM 11,RegistersReads,0
SM 35,BRU Instructions,176
SM 36,DPU Instructions,24
SM 31,BRU Instructions,296
SM 7,Cycles,101457
SM 27,BRU Instructions,272
SM 40,InstructionsPerCycle,0
SM 69,Cycles,101457
SM 49,SPU Instructions,0
SM 37,Cycles,101457
SM 62,LDS Instructions,48
SM 63,DPU Instructions,0
Device,GridCount,0
SM 48,Cycles,101457
SM 5,DPU Instructions,0
Config.SM,NumWarpPools,4
SM 41,DPU Instructions,24
SM 54,RegistersReads,0
Config.BRU,Width,1
SM 47,BlockCount,1
SM 51,RegistersReads,0
SM 68,InstructionsPerCycle,0
SM 3,RegistersReads,0
Config.DPU,NumSPULanes,32
SM 26,DPU Instructions,0
SM 42,BlockCount,2
SM 67,InstructionsPerCycle,0
SM 3,IMU Instructions,136
SM 75,SPU Instructions,0
Config.SPU,ReadBufferSize,1
SM 8,IMU Instructions,136
SM 29,InstructionsPerCycle,0
SM 80,SFU Instructions,552
SM 59,BlockCount,1
SM 10,BlockCount,2
SM 11,BRU Instructions,152
SM 39,BRU Instructions,176
SM 44,Cycles,101457
SM 13,RegistersReads,0
SM 49,BRU Instructions,96
