Section,Stat,Value
SM 40,SFU Instructions,11133
SM 42,DPU Instructions,72
SM 43,IMU Instructions,1731
SM 32,DPU Instructions,72
Device,instructionsPerCycle,0
SM 31,BlockCount,22
SM 13,IMU Instructions,1676
SM 37,DPU Instructions,72
SM 7,RegistersWrites,0
SM 44,BlockCount,22
SM 14,RegistersWrites,0
SM 43,InstructionsPerCycle,0
SM 17,RegistersReads,0
SM 25,SPU Instructions,0
SM 38,BRU Instructions,2224
SM 38,SFU Instructions,11133
SM 42,LDS Instructions,1064
SM 34,DPU Instructions,72
SM 39,RegistersReads,0
SM 7,BlockCount,23
Config.BRU,ExecutionBufferSize,5
Config.Device,Frequency,1132
SM 17,Cycles,62957
SM 30,InstructionsPerCycle,0
SM 34,SPU Instructions,0
Config.IMU,ReadBufferSize,1
SM 8,RegistersWrites,0
SM 32,Cycles,62957
SM 15,LDS Instructions,1056
Config.FrontEnd,FetchBufferSize,10
SM 42,SFU Instructions,11133
SM 13,LDS Instructions,1056
SM 6,SPU Instructions,0
SM 12,RegistersReads,0
Config.DPU,Width,1
SM 9,InstructionsPerCycle,0
SM 5,SPU Instructions,0
SM 2,InstructionsPerCycle,0
SM 36,RegistersReads,0
SM 18,Cycles,62957
Config.DPU,ExecutionBufferSize,15
SM 6,LDS Instructions,1104
Config.IMU,WriteBufferSize,1
SM 10,BlockCount,23
SM 14,LDS Instructions,1056
SM 23,SPU Instructions,0
SM 33,DPU Instructions,72
SM 6,IMU Instructions,1763
SM 21,SPU Instructions,0
SM 45,SFU Instructions,11133
SM 9,SPU Instructions,0
SM 36,BlockCount,22
SM 8,DPU Instructions,72
SM 39,DPU Instructions,72
SM 1,InstructionsPerCycle,0
SM 10,InstructionsPerCycle,0
SM 38,IMU Instructions,1731
Config.FrontEnd,FetchLatency,2
SM 7,LDS Instructions,1104
SM 4,InstructionsPerCycle,0
SM 35,RegistersReads,0
SM 42,BRU Instructions,2224
Config.BRU,Width,1
SM 19,DPU Instructions,48
SM 1,BlockCount,23
SM 0,RegistersWrites,0
SM 3,Cycles,62957
SM 2,Cycles,62957
SM 26,Cycles,62957
SM 19,SFU Instructions,10844
SM 37,RegistersReads,0
SM 45,RegistersWrites,0
SM 44,LDS Instructions,1064
Config.SPU,ExecutionBufferSize,1
SM 41,LDS Instructions,1064
SM 32,SFU Instructions,10873
Config.SM,MaxBlocksPerWarpPool,4
SM 11,IMU Instructions,1763
SM 2,RegistersReads,0
SM 28,SPU Instructions,0
SM 25,DPU Instructions,72
SM 13,RegistersWrites,0
SM 27,SFU Instructions,10929
SM 23,Cycles,62957
SM 28,RegistersReads,0
SM 16,Cycles,62957
SM 29,BlockCount,22
Config.IMU,ReadLatency,1
SM 12,BlockCount,22
SM 28,SFU Instructions,10929
SM 22,RegistersWrites,0
SM 4,RegistersReads,0
SM 11,RegistersWrites,0
SM 20,RegistersWrites,0
SM 20,Cycles,62957
SM 40,InstructionsPerCycle,0
SM 41,DPU Instructions,72
SM 6,SFU Instructions,11397
SM 33,LDS Instructions,1048
SM 20,SPU Instructions,0
SM 1,DPU Instructions,72
SM 28,InstructionsPerCycle,0
SM 40,SPU Instructions,0
